age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
False,True,False,True,True,False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,True,True,False,False,True,False,False,False
False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
